,index,LoadHourlyAvg,Percentile
467,467,3476.700000000001,0.993
468,468,3476.610000000001,0.993
469,469,3475.6200000000013,0.993
470,470,3474.5400000000004,0.993
471,471,3474.0,0.993
472,472,3473.82,0.993
473,473,3472.2000000000007,0.993
474,474,3471.9300000000007,0.993
475,475,3471.021818181818,0.993
476,476,3470.6290909090912,0.993
477,477,3470.130000000001,0.993
478,478,3468.4200000000005,0.993
479,479,3467.978181818183,0.993
480,480,3467.07,0.993
481,481,3466.8900000000012,0.993
482,482,3466.800000000001,0.992
483,483,3464.1900000000005,0.992
484,484,3463.92,0.992
485,485,3463.56,0.992
486,486,3463.2654545454548,0.992
487,487,3463.1999999999994,0.992
488,488,3461.85,0.992
489,489,3461.22,0.992
490,490,3460.6800000000007,0.992
491,491,3457.6199999999994,0.992
492,492,3456.687272727273,0.992
493,493,3456.5400000000004,0.992
494,494,3456.4500000000007,0.992
495,495,3456.09,0.992
496,496,3456.0,0.992
497,497,3456.0,0.992
498,498,3456.0,0.992
499,499,3455.4109090909096,0.992
500,500,3453.9479999999994,0.992
501,501,3453.66,0.992
502,502,3453.03,0.992
503,503,3452.67,0.992
504,504,3452.4,0.992
505,505,3452.170909090909,0.992
506,506,3451.86,0.992
507,507,3451.6800000000007,0.992
508,508,3451.1400000000012,0.992
509,509,3450.9240000000004,0.992
510,510,3449.16,0.992
511,511,3448.98,0.992
512,512,3448.8900000000012,0.992
513,513,3448.832727272728,0.992
514,514,3448.53,0.992
515,515,3447.99,0.992
516,516,3447.752727272727,0.992
517,517,3447.6545454545453,0.992
518,518,3447.360000000001,0.992
519,519,3444.6600000000008,0.992
520,520,3444.2100000000005,0.992
521,521,3443.923636363636,0.992
522,522,3443.5309090909086,0.992
523,523,3442.7700000000004,0.992
524,524,3441.6000000000013,0.992
525,525,3440.880000000001,0.992
526,526,3439.1520000000005,0.992
527,527,3438.72,0.992
528,528,3437.280000000001,0.992
529,529,3437.1900000000005,0.992
530,530,3436.2000000000007,0.992
531,531,3434.4,0.992
532,532,3434.31,0.992
533,533,3433.5,0.992
534,534,3433.5,0.992
535,535,3433.1236363636363,0.992
536,536,3432.534545454546,0.992
537,537,3431.34,0.992
538,538,3429.1800000000007,0.992
539,539,3428.803636363637,0.992
540,540,3428.8036363636365,0.992
541,541,3427.5600000000013,0.992
542,542,3426.3,0.992
543,543,3426.2100000000005,0.992
544,544,3424.6800000000007,0.992
545,545,3424.59,0.992
546,546,3423.51,0.991
547,547,3423.330000000001,0.991
548,548,3422.610000000001,0.991
549,549,3419.73,0.991
550,550,3417.300000000001,0.991
551,551,3414.96,0.991
552,552,3413.34,0.991
553,553,3413.25,0.991
554,554,3412.7999999999993,0.991
555,555,3412.53,0.991
556,556,3412.44,0.991
557,557,3411.7200000000007,0.991
558,558,3410.100000000001,0.991
559,559,3409.854545454545,0.991
560,560,3408.3,0.991
561,561,3408.171428571429,0.991
562,562,3406.23,0.991
563,563,3405.96,0.991
564,564,3405.8699999999994,0.991
565,565,3405.534545454546,0.991
