,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
21357,21357,1625.4900000000005,CAV-01-3A-17,9,264.0
21358,21358,1625.4899999999998,CAV-01-3A-07,8,269.0
21359,21359,1625.2200000000005,CAV-01-3A-16,2,255.0
21360,21360,1625.22,CAV-01-3A-07,9,269.0
21361,21361,1625.2036363636364,CAV-01-3A-18,3,250.0
21362,21362,1625.2036363636364,CAV-02-5A-03,4,268.0
21363,21363,1625.1840000000002,CAV-01-3A-12,9,252.0
21364,21364,1625.13,CAV-01-3A-14,5,264.0
21365,21365,1625.1054545454544,CAV-01-3A-17,4,264.0
21366,21366,1625.0400000000002,CAV-01-3A-23,11,334.0
21367,21367,1624.86,CAV-01-3A-24,5,268.0
21368,21368,1624.7127272727269,CAV-02-5A-03,5,268.0
21369,21369,1624.59,CAV-02-5A-05,3,348.0
21370,21370,1624.5600000000004,CAV-02-3A-04,6,268.0
21371,21371,1624.5360000000005,CAV-01-3A-20,2,250.0
21372,21372,1624.41,CAV-01-3A-10,6,256.0
21373,21373,1624.3200000000004,CAV-02-3A-01,10,268.0
21374,21374,1624.32,CAV-01-3A-23,4,334.0
21375,21375,1624.32,CAV-01-3A-24,2,268.0
21376,21376,1624.2299999999998,CAV-02-5A-05,12,348.0
21377,21377,1624.1236363636365,CAV-02-5A-01,2,268.0
21378,21378,1624.0500000000004,CAV-02-5A-05,6,348.0
21379,21379,1624.0500000000002,CAV-01-3A-07,9,269.0
21380,21380,1624.05,CAV-01-3A-07,5,269.0
21381,21381,1623.96,CAV-01-3A-10,9,256.0
21382,21382,1623.87,CAV-01-3A-17,7,264.0
21383,21383,1623.87,CAV-01-3A-23,7,334.0
21384,21384,1623.87,CAV-01-3A-18,2,250.0
21385,21385,1623.7800000000004,CAV-01-3A-17,8,264.0
21386,21386,1623.78,CAV-01-3A-17,7,264.0
21387,21387,1623.78,CAV-01-3A-23,8,334.0
21388,21388,1623.6900000000005,CAV-02-5A-05,9,348.0
21389,21389,1623.6900000000005,CAV-02-3A-04,5,268.0
21390,21390,1623.6000000000004,CAV-02-3A-04,2,268.0
21391,21391,1623.5345454545457,CAV-01-3A-16,3,255.0
21392,21392,1623.5100000000002,CAV-01-3A-10,10,256.0
21393,21393,1623.5100000000002,CAV-01-3A-12,5,252.0
21394,21394,1623.5100000000002,CAV-01-3A-10,8,256.0
21395,21395,1623.5100000000002,CAV-01-3A-15,10,255.0
21396,21396,1623.5100000000002,CAV-01-3A-11,7,269.0
21397,21397,1623.51,CAV-01-3A-15,5,255.0
21398,21398,1623.4363636363637,CAV-01-3A-07,7,269.0
21399,21399,1623.42,CAV-01-3A-09,7,256.0
21400,21400,1623.24,CAV-01-3A-14,5,264.0
21401,21401,1623.0600000000002,CAV-02-5A-02,12,268.0
21402,21402,1623.0599999999995,CAV-01-3A-20,1,250.0
21403,21403,1622.9700000000005,CAV-01-3A-18,5,250.0
21404,21404,1622.9700000000005,CAV-01-3A-07,3,269.0
21405,21405,1622.9454545454546,CAV-01-3A-18,12,250.0
21406,21406,1622.9454545454546,CAV-01-3A-12,8,252.0
